JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords,description,match,clean_desc,exp_years
NET-E-011,.NET Developer,Experienced,3+,C#; .NET Core; ASP.NET MVC; SQL Server; Entity Framework; REST APIs; Docker; Azure,Design and develop advanced .NET applications; Implement microservices with ASP.NET Core; Manage SQL Server database performance; Develop REST APIs; Deploy applications using Docker; Integrate with Azure cloud services,.NET Core; C#; ASP.NET MVC; Microservices; Azure; Entity Framework; REST APIs; Docker,.net developer c#; .net core; asp.net mvc; sql server; entity framework; rest apis; docker; azure,0.0,net developer c net core asp net mvc sql server entity framework rest apis docker azure,3
NET-E-012,.NET Developer,Experienced,4+,C#; ASP.NET Core; SQL Server; Entity Framework; Design Patterns; SOLID Principles; Azure DevOps,Architect scalable .NET Core solutions; Implement design patterns in projects; Lead database optimization efforts; Manage CI/CD pipelines with Azure DevOps; Collaborate with cross-functional teams,.NET Core; C#; ASP.NET MVC; SOLID; Azure DevOps; Entity Framework,.net developer c#; asp.net core; sql server; entity framework; design patterns; solid principles; azure devops,0.0,net developer c asp net core sql server entity framework design patterns solid principles azure devops,4
NET-E-013,.NET Developer,Experienced,5+,C#; F#; .NET Core; ASP.NET MVC; Microservices; Docker; Kubernetes; Azure,Develop microservices architecture; Work with Docker and Kubernetes for deployment; Integrate with Azure services; Lead junior developers; Optimize application performance,.NET Core; C#; Microservices; Docker; Kubernetes; Azure,.net developer c#; f#; .net core; asp.net mvc; microservices; docker; kubernetes; azure,0.0,net developer c f net core asp net mvc microservices docker kubernetes azure,5
NET-E-014,.NET Developer,Experienced,3+,C#; ASP.NET Core; WebAPI; SignalR; SQL Server; NoSQL; Entity Framework,Develop RESTful APIs and real-time apps; Implement SignalR for live communication; Work with SQL Server and NoSQL databases; Lead module development; Ensure application scalability,.NET Core; C#; ASP.NET MVC; WebAPI; SignalR; Entity Framework,.net developer c#; asp.net core; webapi; signalr; sql server; nosql; entity framework,0.0,net developer c asp net core webapi signalr sql server nosql entity framework,3
NET-E-015,.NET Developer,Experienced,5+,C#; .NET Core; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,Develop front-end with Blazor/Angular; Implement repository pattern with Dapper; Optimize SQL Server queries; Enhance UI/UX for applications; Mentor junior team members,.NET Core; C#; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,.net developer c#; .net core; asp.net mvc; blazor; angular; sql server; dapper,0.0,net developer c net core asp net mvc blazor angular sql server dapper,5
NET-E-016,.NET Developer,Experienced,4+,C#; .NET Core; ASP.NET MVC; REST APIs; Docker; Azure DevOps; Testing with NUnit,Develop and maintain microservices; Create CI/CD pipelines; Ensure testing coverage with NUnit; Deploy apps with Docker; Collaborate with QA team,.NET Core; C#; ASP.NET MVC; REST APIs; Docker; Azure DevOps; NUnit,.net developer c#; .net core; asp.net mvc; rest apis; docker; azure devops; testing with nunit,0.0,net developer c net core asp net mvc rest apis docker azure devops testing with nunit,4
NET-E-017,.NET Developer,Experienced,3+,C#; ASP.NET Core; WebAPI; gRPC; SQL Server; Azure,Build RESTful and gRPC APIs; Integrate services with Azure; Design database schemas; Monitor system performance; Provide technical leadership,.NET Core; C#; WebAPI; gRPC; SQL Server; Azure,.net developer c#; asp.net core; webapi; grpc; sql server; azure,0.0,net developer c asp net core webapi grpc sql server azure,3
NET-E-018,.NET Developer,Experienced,5+,C#; ASP.NET Core; Microservices; Kubernetes; Entity Framework; Azure; SOLID Principles,Design and manage microservices architecture; Deploy apps on Kubernetes clusters; Ensure best practices with SOLID principles; Lead development sprints; Coordinate with product teams,.NET Core; C#; Microservices; Kubernetes; Entity Framework; Azure; SOLID,.net developer c#; asp.net core; microservices; kubernetes; entity framework; azure; solid principles,0.0,net developer c asp net core microservices kubernetes entity framework azure solid principles,5
NET-E-019,.NET Developer,Experienced,4+,C#; .NET Core; ASP.NET MVC; Testing with xUnit; Moq; Azure,Implement automated unit tests; Use Moq for dependency testing; Develop scalable apps in .NET Core; Lead code review sessions; Optimize app performance,.NET Core; C#; ASP.NET MVC; xUnit; Moq; Azure,.net developer c#; .net core; asp.net mvc; testing with xunit; moq; azure,0.0,net developer c net core asp net mvc testing with xunit moq azure,4
NET-E-020,.NET Developer,Experienced,5+,C#; .NET Core; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,Lead CI/CD setup in Azure DevOps; Deploy services with Docker/Kubernetes; Architect scalable .NET applications; Coordinate with cross-functional teams; Mentor juniors,.NET Core; C#; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,.net developer c#; .net core; asp.net mvc; ci/cd; azure devops; docker; kubernetes; rest apis,0.0,net developer c net core asp net mvc ci cd azure devops docker kubernetes rest apis,5
AI001,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL,Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; supervised/unsupervised learning; regression; classification; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb; nosql,0.0,ai engineer fresher python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb nosql,0
AI002,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; classification; regression; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb,0.0,ai engineer fresher python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,0
AI003,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Support AI development; Create and test ML models; Perform data preprocessing and feature engineering; Collaborate with mentors,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; supervised/unsupervised learning; regression; classification; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb,0.0,ai engineer fresher python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,0
AI004,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Implement basic AI/ML models; Assist with data preprocessing and visualization; Participate in small projects or hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; classification; regression; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb,0.0,ai engineer fresher python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,0
AI005,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Assist in AI model development; Data cleaning; Implement basic neural networks; Collaborate on academic or hackathon projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,ai engineer - fresher python; java; c++; r; supervised/unsupervised learning; regression; classification; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb,0.0,ai engineer fresher python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,0
AI006,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; classification; regression; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb,0.0,ai engineer fresher python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,0
AI007,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Assist in developing AI pipelines; Train basic ML/DL models; Preprocess data; Participate in hackathons or academic projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,ai engineer - fresher python; java; c++; r; supervised/unsupervised learning; regression; classification; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb,0.0,ai engineer fresher python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,0
AI008,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"Implement and test ML/AI models; Clean and preprocess data; Contribute to academic, hobby, or hackathon projects",AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch,ai engineer - fresher python; java; c++; r; classification; regression; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb,0.0,ai engineer fresher python java c r classification regression clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,0
AI009,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Support development of AI projects; Preprocess datasets; Build basic ML/DL models; Participate in collaborative projects and hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning,ai engineer - fresher python; java; c++; r; supervised/unsupervised learning; regression; classification; clustering; tensorflow; pytorch; keras; scikit-learn; neural networks; opencv; nltk; pandas; numpy; sql; mongodb,0.0,ai engineer fresher python java c r supervised unsupervised learning regression classification clustering tensorflow pytorch keras scikit learn neural networks opencv nltk pandas numpy sql mongodb,0
AI010,AI Engineer - Experienced,Mid-Senior Level,3–6 years,Python; Java; C++; R; Deep Learning; Reinforcement Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Apache Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,Architect and deploy scalable AI models; Optimize deep learning and NLP pipelines; Integrate AI solutions with cloud platforms; Lead AI projects,AI; ML; Mid-Senior Level; Deep Learning; NLP; Cloud; MLOps; TensorFlow; PyTorch,ai engineer - experienced python; java; c++; r; deep learning; reinforcement learning; nlp; computer vision; generative ai; llms; tensorflow; pytorch; scikit-learn; hugging face transformers; onnx; aws; gcp; azure; ci/cd; mlops; apache spark; hadoop; docker; kubernetes; model monitoring; shap; lime,0.0,ai engineer experienced python java c r deep learning reinforcement learning nlp computer vision generative ai llms tensorflow pytorch scikit learn hugging face transformers onnx aws gcp azure ci cd mlops apache spark hadoop docker kubernetes model monitoring shap lime,3
AI011,AI Engineer - Experienced,Senior-Level,4–7 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,"Design, implement, and deploy advanced AI solutions; Lead teams; Ensure cloud integration; Manage MLOps pipelines",AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,ai engineer - experienced python; java; c++; r; deep learning; nlp; computer vision; generative ai; llms; tensorflow; pytorch; scikit-learn; hugging face transformers; onnx; aws; gcp; azure; ci/cd; mlops; spark; hadoop; docker; kubernetes; model monitoring; shap; lime,0.0,ai engineer experienced python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch scikit learn hugging face transformers onnx aws gcp azure ci cd mlops spark hadoop docker kubernetes model monitoring shap lime,4
AI012,AI Engineer - Experienced,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face Transformers; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME,Lead AI engineering projects; Deploy scalable deep learning models; Manage cloud-based AI platforms; Mentor junior AI engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,ai engineer - experienced python; java; c++; r; deep learning; nlp; computer vision; reinforcement learning; llms; tensorflow; pytorch; keras; scikit-learn; hugging face transformers; aws; gcp; azure; ci/cd; docker; kubernetes; spark; hadoop; shap; lime,0.0,ai engineer experienced python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face transformers aws gcp azure ci cd docker kubernetes spark hadoop shap lime,5
AI013,AI Engineer - Experienced,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME,Architect AI/ML pipelines; Integrate models with cloud platforms; Optimize NLP and computer vision solutions; Lead cross-functional AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,ai engineer - experienced python; java; c++; r; deep learning; nlp; computer vision; llms; reinforcement learning; tensorflow; pytorch; scikit-learn; hugging face; onnx; aws; gcp; azure; ci/cd; docker; kubernetes; spark; hadoop; shap; lime,0.0,ai engineer experienced python java c r deep learning nlp computer vision llms reinforcement learning tensorflow pytorch scikit learn hugging face onnx aws gcp azure ci cd docker kubernetes spark hadoop shap lime,6
AI014,AI Engineer - Experienced,Senior-Level,5–8 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME,Design and deploy production-grade AI solutions; Manage AI cloud platforms; Lead AI engineering teams; Implement MLOps practices; Ensure model explainability,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,ai engineer - experienced python; java; c++; r; deep learning; nlp; computer vision; generative ai; llms; tensorflow; pytorch; keras; scikit-learn; hugging face; onnx; aws; gcp; azure; docker; kubernetes; ci/cd; hadoop; spark; shap; lime,0.0,ai engineer experienced python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd hadoop spark shap lime,5
AI015,AI Engineer - Experienced,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead AI/ML projects; Implement scalable deep learning and NLP pipelines; Deploy models in cloud environments; Mentor junior engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,ai engineer - experienced python; java; c++; r; deep learning; nlp; computer vision; reinforcement learning; llms; tensorflow; pytorch; keras; scikit-learn; hugging face; aws; gcp; azure; docker; kubernetes; ci/cd; spark; hadoop; shap; lime,0.0,ai engineer experienced python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face aws gcp azure docker kubernetes ci cd spark hadoop shap lime,5
AI016,AI Engineer - Experienced,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME,Architect AI pipelines; Optimize deep learning and NLP solutions; Manage cloud AI infrastructure; Lead cross-functional AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,ai engineer - experienced python; java; c++; r; deep learning; nlp; computer vision; generative ai; llms; tensorflow; pytorch; keras; scikit-learn; hugging face; onnx; aws; gcp; azure; docker; kubernetes; ci/cd; hadoop; spark; shap; lime,0.0,ai engineer experienced python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd hadoop spark shap lime,6
AI017,,Senior-Level,5–10 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead complex AI and ML projects; Develop scalable deep learning and NLP pipelines; Manage cloud AI infrastructure; Mentor junior engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps, python; java; c++; r; deep learning; nlp; computer vision; reinforcement learning; llms; tensorflow; pytorch; keras; scikit-learn; hugging face; aws; gcp; azure; docker; kubernetes; ci/cd; spark; hadoop; shap; lime,0.0,,5
AI018,AI Engineer - Experienced,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead AI/ML initiatives; Deploy advanced deep learning models; Optimize pipelines; Mentor and guide AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,ai engineer - experienced python; java; c++; r; deep learning; nlp; computer vision; llms; reinforcement learning; tensorflow; pytorch; keras; scikit-learn; hugging face; aws; gcp; azure; docker; kubernetes; ci/cd; spark; hadoop; shap; lime,0.0,ai engineer experienced python java c r deep learning nlp computer vision llms reinforcement learning tensorflow pytorch keras scikit learn hugging face aws gcp azure docker kubernetes ci cd spark hadoop shap lime,6
AI019,AI Engineer - Experienced,Senior-Level,5–9 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Manage large-scale AI projects; Implement predictive analytics solutions; Optimize ML/AI pipelines; Provide strategic business insights,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,ai engineer - experienced python; java; c++; r; deep learning; nlp; computer vision; generative ai; llms; tensorflow; pytorch; keras; scikit-learn; hugging face; onnx; aws; gcp; azure; docker; kubernetes; ci/cd; spark; hadoop; shap; lime,0.0,ai engineer experienced python java c r deep learning nlp computer vision generative ai llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd spark hadoop shap lime,5
AI020,AI Engineer - Experienced,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead AI/ML projects; Deploy and scale deep learning and NLP models; Optimize cloud pipelines; Mentor junior AI engineers and lead teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps,ai engineer - experienced python; java; c++; r; deep learning; nlp; computer vision; reinforcement learning; llms; tensorflow; pytorch; keras; scikit-learn; hugging face; onnx; aws; gcp; azure; docker; kubernetes; ci/cd; spark; hadoop; shap; lime,0.0,ai engineer experienced python java c r deep learning nlp computer vision reinforcement learning llms tensorflow pytorch keras scikit learn hugging face onnx aws gcp azure docker kubernetes ci cd spark hadoop shap lime,5
AI-F-001,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face Transformers basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity,Assist in designing prompts for AI models; Test and evaluate prompt effectiveness; Collaborate with AI/data science teams; Document prompt experiments; Support AI model integration tasks,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; AI Model Optimization; Hugging Face; GPT; Data Analysis,ai prompt engineer python basics; javascript basics; intro to nlp; hugging face transformers basics; spacy basics; nltk basics; prompt writing fundamentals; openai gpt models intro; tensorflow basics; pytorch basics; critical thinking; communication; collaboration; creativity,0.0,ai prompt engineer python basics javascript basics intro to nlp hugging face transformers basics spacy basics nltk basics prompt writing fundamentals openai gpt models intro tensorflow basics pytorch basics critical thinking communication collaboration creativity,0
AI-F-002,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,Write and test basic prompts for AI models; Assist in NLP-related tasks; Collaborate with data science teams; Document prompt testing results; Support AI platform integration; Learn AI model evaluation techniques,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization,ai prompt engineer python basics; javascript basics; intro to nlp; hugging face basics; spacy basics; nltk basics; prompt writing; gpt model exposure; tensorflow basics; pytorch basics; problem-solving; communication; teamwork; creativity,0.0,ai prompt engineer python basics javascript basics intro to nlp hugging face basics spacy basics nltk basics prompt writing gpt model exposure tensorflow basics pytorch basics problem solving communication teamwork creativity,0
